	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
14	Tokyo		16.6	Administrative boundary of a local government			0.0028872234	0.0025182088		92900000000000.0	(35.6896342, 139.6921007)	Tokyo Metropolitan Government	13513734.0	2015.0	A	Other	0.0	0.0		JPY     Japanese yen		CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Stayed the same	2188.0	The guideline set by the Ministry of environmnet , Japan	1.0	No change compared with the previous fiscal year. GHG emissions decreased due to the progress of users' energy efficiency but, at the same time, increased due to a worsening electricity CO2 emission coefficient	2016.0	26518519.26726708	26588333.979318313	26658148.69136954	27611000.0	CDP	tCO2-eq	2014.0	42515000.0	69032519.26726708	69102333.97931832	69172148.69136955	70125000.0		2015.0		0.0028872234	Japan												East Asia	1.0000142602495543
254	Toluca de Lerdo															Community																	4378317.0	carbonn	tCO2-eq	2010.0								Municipality		Mexico			Municipality of Toluca de Lerdo	USD	249340000.0	2013.0	19.28261	-99.655665	291739497.97917	819661.0	2011.0	Latin America & Caribbean	
155	Torino	239.0	15.0	"Other: Our  emission inventory takes in account the City of Turin  and its boundary, following the instruction of the JRC methodology (""How to develope a sustainable energy action plan"") setted up for the Covenant of Mayors initiative."			0.0151458624	0.011383130900000002		26933203382.0	(45.1006374, 7.6680046)	Comune di Torino	898714.0	2014.0	D	Other	0.01	68000000.0			http://www.centroestero.org/FTP/opploc/TorinoUrbanProfile2013.pdf	CO2		Decreased	130.0	"The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative. The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year)."	7800000000.0	Last updated in 2014. Since the last inventory performed a reduction of 22% in CO2 emissions compared to the base year (1991).	2016.0					CDP	tCO2	2014.0					3496156.0		2013.0		0.0151130591	Italy												Europe	
66	Toronto	77.0	8.0	Administrative boundary of a local government			0.1017275144	0.046860437000000005		157300000000000.0	(43.653226, -79.3831843)	City of Toronto	2753100.0	2011.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar	http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD	CO2		Decreased	634.0	Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste. a. Energy Heating and Cooling: The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...b. Transportation: Data are collected and standardized only for car and truck traffic through the City using four main sources: -truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division -accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division --a Canadian standard developed by a Canadian consultant. The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources. c. Waste: Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.	151500000000.0	a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated. Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.	2016.0				16151019.0	CDP	tCO2	2013.0	2169947.0				18320966.0		2013.0		0.0734936045	Canada												North America	1.0
163	Torres Vedras	75.0	15.0	Administrative boundary of a local government			0.0361368851	0.0311275785			(38.763669, -9.30148)	Torres Vedras Municipality	79465.0	2011.0	D	International Emissions Analysis Protocol (ICLEI)	0.0	0.0				CO2			407.0		1.0		2016.0					CDP	tCO2	2009.0					260331.0				0.0361368851	Portugal												Europe	
44	Tucson	743.0	21.6	Administrative boundary of a local government			0.0367294791	0.017698981699999998		35717000.0	(32.2217, -110.9265)	City of Tucson	529845.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	U.S. Bureau of Economic Analysis	CO2; CH4; N2O		Decreased	587.2		766200000000.0	More efficient practices plus the impact of the recession	2016.0	2041979.708009168	2175246.316580873	2308512.925152578	2571089.0	CDP	tCO2-eq	2012.0	4088012.0	6129991.7080091685	6263258.316580872	6396524.925152577	6659101.0		2014.0		0.0356646952	USA												North America	1.0
69	Turku	10.0	5.5	Administrative boundary of a local government			0.0541853882	0.0528714133		8700000000.0	(60.4518126, 22.2666303)	City of Turku	186000.0	2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0		USD     US Dollar	Statistics Finland	CO2; CH4; N2O		Stayed the same	246.0	For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.	1.0	Most sectors decreased, but the emission factor for electricity increased in Finland.	2016.0	139002.49825439998	142424.08889400001	145845.6795336	421200.0	CDP	tCO2-eq	2013.0	686300.0	825302.4982544001	828724.0888939999	832145.6795336	1107500.0		2012.0		0.0541853882	Finland												Europe	1.0
255	Tuxtla Gutiérrez															Community - GPC																	1708489.0	carbonn	tCO2-eq	2010.0								Municipality		Mexico			City of Tuxtla Gutiérrez	USD	43345.0	2015.0	16.0	-93.0	50426.9704767397	553374.0	2010.0	Latin America & Caribbean	
256	Ubon Ratchathani															Community - GPC																	421443.0	carbonn	tCO2-eq	2015.0								Municipality		Thailand			Ubonratchathani Municipality	THB	180000.0	2016.0	15.2283	104.8596	5927.8150221885	79944.0	2017.0	Southeast Asia	
21	Udine	113.0	13.0	Administrative boundary of a local government			0.0151458624	0.011383130900000002			(46.0667, 13.2333)	Comune di Udine	99528.0	2013.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.01	68000000.0				CO2		Stayed the same	56.0		7800000000.0	respect to the baseline of 2006 the GHG emissions decreased of 4% in 2013	2016.0				438005.0	CDP	tCO2	2013.0	175583.0				613588.0				0.0151130591	Italy												Europe	1.0
207	Umeå															Community																	521267.0	carbonn	tCO2-eq	2013.0								Municipality		Sweden			Umeå Municipality	EUR	4812000000.0	2012.0	63.8258	20.263	7258075649.614679	120058.0	2015.0	Europe	
51	University City, MO	160.0	13.9	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(38.6682, -90.3325)	University City, MO	35371.0	2010.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.06	42870000000.0				CO2; CH4; N2O		This is our first year of calculation	15.3	Inventory calculated using CACP software using IPCC 1996 Guidelines and US Voluntary Reporting Guidelines. (1996 guidelines not available as an option)	766200000000.0		2016.0	230943.1138502624	239839.6273811814	248736.14091210038	266265.0	CDP	tCO2-eq	2005.0	234882.0	465825.1138502624	474721.62738118134	483618.1409121004	501147.0				0.0356646952	USA												North America	1.0
208	Uppsala															Community																	1182401.0	carbonn	tCO2-eq	2014.0								Municipality		Sweden			Uppsala Municipality	SEK	92543000000.0	2014.0	59.85856	17.638927	15733293571.3701	217000.0	2017.0	Europe	
257	Valledupar															Community - GPC																	1114495.0	carbonn	tCO2-eq	2013.0								Municipality		Colombia			Municipality of Valledupar	COP	6163680000000.0	2015.0	10.4742	-73.2436	2615263845.57329	453212.0	2015.0	Latin America & Caribbean	
16	Vancouver	45.0	11.0	Administrative boundary of a local government			0.1017275144	0.046860437000000005		83600000000.0	(49.261226, -123.1139268)	City of Vancouver	603500.0	2011.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar	Conference Board of Canada (forecast); Vancouver Economic Commission	CO2; CH4; N2O		Decreased	115.0	The City has compiled a GPC-compliant inventory for 2014 as a Compact of Mayors signatory.	151500000000.0	Community LDV emissions have decreased with declining fuel sales within the city. Also, continued increase in landfill gas capture efficiency, coupled with a decrease in overall electricity grid GHG intensity, reduced overall GHG emissions.	2016.0	1147853.071159	1372876.7033665	1597900.335574	2389748.0	CDP	tCO2-eq	2014.0	52855.0	1200707.071159	1425730.7033665	1650754.335574	2442602.0		2015.0		0.0734936045	Canada												North America	1.0000004093994848
103	Venezia	3.0	13.0	Administrative boundary of a local government			0.0151458624	0.011383130900000002		146605000000.0	(45.4332515, 12.3210704)	Comune di Venezia	263104.0	2016.0	A	Other	0.01	68000000.0		EUR     Euro	ISTAT - this data is referred to whole Veneto Region (4881756 inhabitants)	CO2		Stayed the same	414.0	Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.	7800000000.0	Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.	2016.0				955471.0	CDP	tCO2	2005.0	462872.0				1418344.0		2012.0		0.0151130591	Italy												Europe	0.9999992949524232
158	Vilnius	98.0	6.8	Administrative boundary of a local government		CDP2016 TOT likely wrong because one scope is missing.	0.0437818384	0.0222809547			(54.687156, 25.279651)	Vilnius City Municipality	542626.0	2015.0	E	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.0	0.0				CO2; CH4; N2O; PFCs; HFCs		Decreased	401.0	Inventory report is prepared in accordance with the methodology recommended by the Intergovernmental Panel on Climate Change (IPCC) publications: 1. Revised 1996 Guidelines for National Greenhouse Gas Inventories, IPCC, 1997; 2. Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, IPCC, 2000; 3. 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC, 2006 GHG emissions were calculated from activity levels in the different sectors that are in accordance with the IPCC publications.	1.0	Increased wooden biomass utilization in Energy sector for the central heating.	2016.0	1329359.412378125	1492696.5516384717	1656033.6908988184	1994560.0	CDP	tCO2-eq	2013.0		1329359.412378125	1492696.5516384717	1656033.6908988184	1994560.0				0.0437818384	Lithuania												Europe	
209	Växjö															Community - GPC																	285353.0	carbonn	tCO2-eq	2013.0								Municipality		Sweden			Växjö Municipality	SEK	31075000000.0	2012.0	56.879	14.805852	5385766499.37743	89500.0	2016.0	Europe	
39	Warsaw	103.0	8.0	Administrative boundary of a local government			0.0149019759	0.0106873801		30041.0	(52.2296756, 21.0122287)	City of Warsaw	1626514.0	2016.0	A	Other	0.01	45000000.0			Central Statistical Office of Poland	CO2		Decreased	517.0	Covenant of Mayors	6193000000.0	Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.	2016.0				7930452.0	CDP	tCO2	2014.0	3791322.0				11721774.0		2013.0		0.0148713515	Poland												Europe	1.0
309	Weifang				191.9				1.01232							Other			7973635.0				35954.39										4319059.230719999	PKU	tCO2	2010.0						4266496.0				China		Weifang										East Asia	
119	Wellington		12.7	Administrative boundary of a local government		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.0234648677	0.0132737261		18333000.0	(26.661763, -80.268357)	Wellington City Council	209102.0	2017.0	B	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		NZD     New Zealand Dollar	Infometrics	CO2; CH4; N2O; HFCs; PFCs; SF6		Decreased	290.1		1.0	The decrease in emissions we have experienced is largely due to reductions in emissions from stationary energy. This decrease is primarily from a reduction in demand, but also from the increasing proportion of renewable energy generated in New Zealand.	2017.0	483795.5785574488	513629.4118292536	543463.2451010584	621179.0	CDP	tCO2-eq	2014.0	171780.0	655575.5785574488	685409.4118292537	715243.2451010584	792959.0		2015.0		0.0234648677	New Zealand												Oceania	1.0
183	West Hollywood	90.0	19.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(34.09, -118.3617)	City of West Hollywood	34399.0	2010.0	D	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0				CO2		This is our first year of calculation	5.0		766200000000.0		2016.0					CDP	tCO2	2008.0					583213.0				0.0356646952	USA												North America	
258	Windhoek															Community - GPC																	2829997.0	carbonn	tCO2-eq	2016.0								Municipality		Namibia			City of Windhoek	NAD	36000.0	2015.0	-22.5609	17.065755	3608.9530010291996	325858.0		Africa	
8	Windsor, ON	190.0	10.7	Administrative boundary of a local government		CDP2016 TOT recalculated by summing both CDP2016 scopes.	0.1017275144	0.046860437000000005		12065940000.0	(42.314937, -83.036363)	City of Windsor	210891.0	2011.0	A	International Emissions Analysis Protocol (ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar	City Economic Development Planning	CO2; CH4; N2O			146.3		151500000000.0	Community emissions have decreased by 382,134 tonnes between 2011 and 2014, and by 1,250,176 tonnes. The largest sources of declines were in Industrial emissions and Commercial and Institutional emissions, respectively, and can likely be credited in no small part to efficiency improvements and the Province's shuttering of goal generation in the grid electricity mix	2016.0	2041727.087094934	2120360.8216763292	2198994.556257724	2475703.0	CDP	tCO2-eq	2014.0	6709.0	2048436.087094934	2127069.8216763292	2205703.556257724	2482412.0		2014.0		0.0734936045	Canada												North America	1.0
